name,category,status,flags,serving_label,serving_grams,calories,protein_g,carbs_g,fat_g,fibre_g,sodium_mg,sugar_g,confidence
Crumbed prawns,Fish & chips / seafood takeaway,succeeded,,"1 serve (~8 prawns, 250g)",250,550,24,42,32,2.5,620,2,medium
Squid rings,Fish & chips / seafood takeaway,succeeded,,1 serve (~250g),250,620,28,45,36,2,780,1.5,medium
Whiting fillets,Fish & chips / seafood takeaway,succeeded,,"1 serve (~2 fillets, ~200g)",200,220,38,1,7,0,320,0,medium
Flake and chips,Fish & chips / seafood takeaway,succeeded,,1 serve (~400g),400,950,32,80,58,5,780,1.5,medium
Seafood platter,Fish & chips / seafood takeaway,succeeded,LOW_CONFIDENCE,1 serve (~500g),500,1100,55,85,60,4,1600,8,low
Chips with gravy,Fish & chips / seafood takeaway,succeeded,,1 serve (~350g),350,620,8.5,68,34,5.5,980,3,medium
Chips with chicken salt,Fish & chips / seafood takeaway,succeeded,,1 serve (~300g),300,650,8,78,34,6,950,1,medium
Margherita pizza,Pizza & Italian mains,succeeded,,1 whole personal pizza (~250g),250,620,25,78,23,4,1250,6,medium
Hawaiian pizza,Pizza & Italian mains,succeeded,,"2 slices (1/4 of 12-inch pizza, ~200g)",200,480,22,54,19,3,980,8,medium
Pepperoni pizza,Pizza & Italian mains,succeeded,,"2 slices (1/4 of 30cm pizza, ~180g)",180,470,20,47,22,3,980,5,medium
Meat lovers pizza,Pizza & Italian mains,succeeded,,2 slices from a large pizza (~1/4 pizza),220,580,27,55,28,3,1250,6,medium
Supreme pizza,Pizza & Italian mains,succeeded,,2 slices from a large pizza (~230g),230,560,25,58,26,4,1250,7,medium
BBQ chicken pizza,Pizza & Italian mains,succeeded,,2 slices from a large pizza (~230g),230,570,30,62,22,3.5,1150,14,medium
Vegetarian pizza,Pizza & Italian mains,succeeded,,"2 slices (from a 30cm pizza, ~200g)",200,460,18,55,18,4.5,850,7,medium
Capricciosa pizza,Pizza & Italian mains,succeeded,,1 whole pizza (~330g),330,820,36,90,34,5,1850,8,medium
Marinara pizza,Pizza & Italian mains,succeeded,,1 whole pizza (~300g),300,720,28,96,24,6,1450,8,medium
Prosciutto pizza,Pizza & Italian mains,succeeded,,"3 slices (~1/3 of a 12-inch pizza, ~250g)",250,620,27,65,28,3.5,1450,5.5,medium
Four cheese pizza,Pizza & Italian mains,succeeded,,"2 slices (1/4 of a 12-inch pizza, ~200g)",200,520,24,52,24,3,1050,5,medium
Garlic pizza,Pizza & Italian mains,succeeded,,1 individual pizza (~200g),200,560,18,66,24,3,980,4,medium
Vegan pizza,Pizza & Italian mains,succeeded,LOW_CONFIDENCE,"2 slices (from a 12-inch pizza, ~200g)",200,440,14,58,17,5.5,780,6.5,low
Spaghetti bolognese,Pizza & Italian mains,succeeded,,1 serve (~400g),400,560,27,65,20,5,850,10,medium
Spaghetti carbonara,Pizza & Italian mains,succeeded,,1 serve (~400g),400,620,24,65,29,3,780,4,medium
Spaghetti marinara,Pizza & Italian mains,succeeded,,1 serve (~400g),400,540,28,68,14,4,780,7,medium
Spaghetti napolitana,Pizza & Italian mains,succeeded,,1 serve (~400g),400,480,15,75,12,6,780,12,medium
Fettuccine carbonara,Pizza & Italian mains,succeeded,,1 serve (~400g),400,720,28,68,38,3,850,4,medium
Fettuccine alfredo,Pizza & Italian mains,succeeded,,1 serve (~400g),400,680,20,65,38,3,780,4,medium
Penne arrabbiata,Pizza & Italian mains,succeeded,,1 serve (~400g),400,480,14,78,13,6,620,9,medium
Penne boscaiola,Pizza & Italian mains,succeeded,,1 serve (~450g),450,780,28,75,40,5,950,8,medium
Lasagne,Pizza & Italian mains,succeeded,,1 serve (~350g),350,550,28,42,29,3.5,850,9,medium
Vegetable lasagne,Pizza & Italian mains,succeeded,,1 serve (~350g),350,430,16.5,42,21,5.5,620,9,medium
Cannelloni,Pizza & Italian mains,succeeded,,"1 serve (~350g, 4 tubes with sauce)",350,480,26,38,24,4,820,9,medium
Ravioli,Pizza & Italian mains,succeeded,,1 serve (~400g),400,560,22,68,21,5,980,9,medium
Gnocchi,Pizza & Italian mains,succeeded,,1 serve (~350g),350,480,12,68,17,5,780,8,medium
Risotto,Pizza & Italian mains,succeeded,,1 serve (~350g),350,480,13,58,20,3,780,3.5,medium
Mushroom risotto,Pizza & Italian mains,succeeded,,1 serve (~350g),350,480,12,62,18,4,780,3.5,medium
Seafood risotto,Pizza & Italian mains,succeeded,,1 serve (~400g),400,560,28,62,20,3,980,3.5,medium
Chicken parmigiana with pasta,Pizza & Italian mains,succeeded,,1 serve (~500g),500,950,52,78,46,5,1400,10,medium
Chicken cacciatore,Pizza & Italian mains,succeeded,,1 serve (~400g),400,420,34,15,23,3.5,780,8,medium
Osso buco,Pizza & Italian mains,succeeded,,"1 serve (~1 shank with sauce, ~400g)",400,520,42,12,32,2.5,780,5,medium
Veal marsala,Pizza & Italian mains,succeeded,,"1 serve (~350g, 2-3 cutlets with sauce)",350,480,34,12,30,1,620,4,medium
Eggplant parmigiana,Pizza & Italian mains,succeeded,,1 serve (~400g),400,520,22,30,34,7,900,10,medium
Caprese salad,Pizza & Italian mains,succeeded,,1 serve (~200g),200,330,15.5,6.5,27,1.8,480,4.5,medium
Bruschetta,Pizza & Italian mains,succeeded,,"1 serve (3-4 pieces, ~150g)",150,280,7,32,14,2.5,480,3.5,medium
Garlic bread,Pizza & Italian mains,succeeded,,4 slices (~120g),120,400,8.5,42,22,2.5,620,3,medium
Cheesy garlic bread,Pizza & Italian mains,succeeded,,4 slices (~150g),150,470,13,42,28,2.5,780,3,medium
Minestrone soup,Pizza & Italian mains,succeeded,,1 bowl (~350g),350,150,6,20,5,4.5,780,6,medium
Arancini,Pizza & Italian mains,succeeded,,4 pieces (~180g),180,400,12,42,20,2.5,620,3,medium
Tiramisu,Pizza & Italian mains,succeeded,,1 slice (~120g),120,340,5.5,30,22,0.5,90,22,medium
Panna cotta,Pizza & Italian mains,succeeded,,1 serve (~120g),120,280,4.2,20.5,20.5,0,40,19.5,medium
Gelato,Pizza & Italian mains,succeeded,,2 scoops (~120g),120,210,4,30,8.5,0.3,45,27,medium
Calzone,Pizza & Italian mains,succeeded,,1 calzone (~350g),350,950,40,100,45,5,1700,8,medium
Stromboli,Pizza & Italian mains,succeeded,,1 stromboli (~300g),300,780,34,78,38,4,1450,6,medium
Baked ziti,Pizza & Italian mains,succeeded,,1 serve (~350g),350,480,24,46,22,3.5,850,8,medium
Puttanesca,Pizza & Italian mains,succeeded,,1 serve (~400g),400,520,15,70,18,6,1300,8,medium
Aglio e olio,Pizza & Italian mains,succeeded,,1 serve (~350g),350,520,13,68,21,4,480,3,medium
Pesto pasta,Pizza & Italian mains,succeeded,,1 serve (~350g),350,560,16,62,28,4,620,4,medium
Carbonara with bacon,Pizza & Italian mains,succeeded,,1 serve (~400g),400,680,28,65,34,3,950,4,medium
Bolognese with parmesan,Pizza & Italian mains,succeeded,,1 serve (~450g),450,620,31,68,24,5.5,890,10,medium
Chicken parmesan pasta bake,Pizza & Italian mains,succeeded,,1 serve (~450g),450,720,42,62,32,4.5,1050,9,medium
Meatball pasta,Pizza & Italian mains,succeeded,,1 serve (~450g),450,620,30,65,25,5,950,10,medium
Tortellini,Pizza & Italian mains,succeeded,,1 serve (~350g),350,480,20,55,20,4,850,6,medium
Ricotta ravioli,Pizza & Italian mains,succeeded,,1 serve (~400g),400,620,24,68,28,4.5,980,8,medium
Zucchini pasta,Pizza & Italian mains,succeeded,LOW_CONFIDENCE,1 serve (~350g),350,260,8.5,16,17,5,480,8,low
Vongole,Pizza & Italian mains,succeeded,,1 serve (~400g),400,560,22,70,18,4,780,4,medium
Seafood linguine,Pizza & Italian mains,succeeded,,1 serve (~450g),450,620,32,68,22,4,780,6,medium
Pumpkin ravioli,Pizza & Italian mains,succeeded,,1 serve (~350g),350,620,17,62,33,5,780,6,medium
Spinach and ricotta cannelloni,Pizza & Italian mains,succeeded,,"1 serve (4-5 tubes, ~400g)",400,560,24,52,28,5,890,9,medium
Osso buco with risotto,Pizza & Italian mains,succeeded,,1 serve (~500g),500,720,42,55,34,3.5,980,5,medium
Chicken saltimbocca,Pizza & Italian mains,succeeded,,1 serve (~300g),300,480,42,6,31,1,820,1.5,medium
Veal parmigiana,Pizza & Italian mains,succeeded,,"1 serve (~450g, with chips and salad)",450,850,45,55,48,5,1300,9,medium
Beef ragu pasta,Pizza & Italian mains,succeeded,,1 serve (~400g),400,580,32,62,21,5,780,9,medium
Tagliatelle bolognese,Pizza & Italian mains,succeeded,,1 serve (~400g),400,620,30,65,25,5,780,8,medium
Polenta with mushrooms,Pizza & Italian mains,succeeded,,1 serve (~350g),350,380,9.5,38,20,4.5,620,3.5,medium
Caprese bruschetta,Pizza & Italian mains,succeeded,,"1 serve (3 pieces, ~150g)",150,320,11,28,19,2.5,480,3.5,medium
Mozzarella sticks,Pizza & Italian mains,succeeded,,"1 serve (6 sticks, ~150g)",150,440,19,33,26,1.5,900,3,medium
Antipasto platter,Pizza & Italian mains,succeeded,LOW_CONFIDENCE,1 serve (~250g),250,620,28,12,50,2.5,1600,5,low
Focaccia bread,Pizza & Italian mains,succeeded,,1 slice/piece (~80g),80,230,6,32,8.5,1.8,420,1,medium
Sweet and sour pork,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,720,28,70,36,3.5,900,32,medium
Sweet and sour chicken,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (~400g, incl. sauce)",400,620,28,68,26,3,850,32,medium
Mongolian beef,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,560,32,30,33,2.5,1350,18,medium
Beef with black bean sauce,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,380,28,15,22,2.5,1150,6,medium
Honey chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,780,32,68,42,2.5,620,30,medium
Lemon chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,780,32,72,40,2.5,780,38,medium
Salt and pepper chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,780,34,45,50,3.5,1100,4,medium
Kung pao chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,480,30,24,29,2.5,950,9,medium
Kung pao prawns,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,420,28,22,23,2.5,980,9,medium
San choy bow,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve, 3-4 lettuce cups (~250g)",250,320,20.5,12,20.5,2.5,780,6.5,medium
Dim sims,Chinese (Aus-Chinese + authentic),succeeded,,2 dim sims (~180g),180,370,13,30,22,1.8,780,2.5,medium
Dumplings,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (~10 dumplings, 300g)",300,480,18,55,20,3,900,3,medium
Steamed pork buns,Chinese (Aus-Chinese + authentic),succeeded,,3 buns (~240g),240,480,16,78,12,3,620,16,medium
Char siu pork,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~200g),200,420,32,20,23,0.5,900,17,medium
Char siu bao,Chinese (Aus-Chinese + authentic),succeeded,,2 buns (~160g),160,380,12,58,11,2,560,14,medium
Wonton soup,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,210,13,20,8,1.5,1400,2.5,medium
Hot and sour soup,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~350g),350,160,8.5,15,7.5,1.5,980,3,medium
Chow mein,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,520,22,62,20,4,1400,6,medium
Beef chow mein,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~450g),450,620,32,68,22,5,1450,8,medium
Chicken chow mein,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,520,28,60,18,4,1150,8,medium
Singapore noodles,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,520,20,68,18,4.5,980,7,medium
Hokkien noodles,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,520,22,62,20,5,1450,8,medium
Egg fu yung,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (~300g, 2-3 patties with sauce)",300,420,22,18,28,2,980,6,medium
Fried rice,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,550,15,75,19,3,950,4,medium
Chicken fried rice,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,520,20.5,68,17.5,2.5,950,3.5,medium
Special fried rice,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,620,20,82,22,3,1150,4,medium
Yang chow fried rice,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,550,18,70,20,2.5,950,3.5,medium
Mapo tofu,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,420,22,12,30,2,1400,3,medium
Kung pao tofu,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,420,16,28,26,3.5,980,10,medium
Braised eggplant,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~300g),300,260,4.5,18,19,5,780,9,medium
Twice cooked pork,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,520,28,18,37,3,1150,8,medium
Peking duck,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve, ~4-5 pancakes with duck, sauce & garnish (~300g)",300,620,28,48,34,2.5,950,9,medium
Crispy skin chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~300g),300,680,42,10,52,1,780,3,medium
General tso's chicken,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (~350g, with sauce, no rice)",350,720,28,62,40,2,1200,30,medium
Sesame chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,720,32,68,35,2.5,980,30,medium
Orange chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,670,28,70,32,2,950,38,medium
Beef and broccoli,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,420,28,20,24,3.5,980,8,medium
Chicken and cashew nuts,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,520,34,22,32,3.5,980,8,medium
Prawn crackers,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~30g),30,160,1,16,10,0.3,320,0.5,medium
Spring rolls,Chinese (Aus-Chinese + authentic),succeeded,,4 pieces (~180g),180,380,8,38,22,3,620,3,medium
Money bags,Chinese (Aus-Chinese + authentic),succeeded,LOW_CONFIDENCE,"1 serve (6 pieces, ~180g)",180,420,14,32,26,1.5,620,3,low
Wontons fried,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (8 pieces, ~200g)",200,480,15,42,28,2,720,3,medium
Steamed dumplings,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (6 dumplings, ~240g)",240,380,16,42,16,2.5,780,3,medium
Pan-fried dumplings,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (6 dumplings, ~180g)",180,380,14,38,19,2,620,2.5,medium
Xiao long bao,Chinese (Aus-Chinese + authentic),succeeded,,"1 basket (6 dumplings, ~180g)",180,330,14,30,17,1.5,620,2,medium
Congee,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~400g),400,220,6,40,3,1,480,0.5,medium
Chicken congee,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~450g),450,320,20,42,8,1,850,1,medium
Century egg congee,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~500g),500,320,14,48,8,1,980,1,medium
Egg drop soup,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~250g),250,95,4.8,9.5,4,0.5,780,2,medium
Sizzling beef,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,520,34,22,31,3.5,1400,9,medium
Black pepper beef,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,420,30,20,24,2.5,980,8,medium
Claypot rice,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~450g),450,620,26,85,18,2.5,980,6,medium
Char kway teow,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,620,22,68,28,3.5,1450,8,medium
Beef chow fun,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~450g),450,620,32,62,27,3.5,1450,6.5,medium
Roast duck,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (~200g, quarter duck with skin)",200,520,34,3,41,0,780,2,medium
Salt and pepper tofu,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~300g),300,480,16,32,32,3,850,3,medium
Cantonese chow mein,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~450g),450,620,28,60,28,4,1400,6,medium
Yum cha assortment,Chinese (Aus-Chinese + authentic),succeeded,LOW_CONFIDENCE,"1 serve, assorted dim sum (~4-5 pieces, ~300g)",300,620,22,62,31,3,1250,6,low
Prawn dumplings,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (4 pieces, ~140g)",140,180,9.5,22,5.5,1.2,480,1,medium
BBQ pork buns,Chinese (Aus-Chinese + authentic),succeeded,,2 buns (~160g),160,400,12,60,12,2,480,14,medium
Sesame prawn toast,Chinese (Aus-Chinese + authentic),succeeded,,4 pieces (~140g),140,390,13.5,26,26,1.8,480,2,medium
Prawn toast,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (4 pieces, ~120g)",120,350,12,24,23,1.5,480,2,medium
Lemon tofu,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,480,14,48,26,2.5,620,28,medium
Chilli chicken,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,580,32,40,32,3,1150,14,medium
Cumin lamb,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,520,32,15,37,3,980,4,medium
Sichuan noodles,Chinese (Aus-Chinese + authentic),succeeded,LOW_CONFIDENCE,1 serve (~400g),400,560,18,68,24,4,1450,8,low
Dan dan noodles,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,620,24,65,30,4,1450,6,medium
Beef noodle soup,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~550g),550,480,28,58,14,3.5,1600,5,medium
Hand pulled noodles,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~550g),550,620,28,85,17,4,1800,4,medium
Scallion pancake,Chinese (Aus-Chinese + authentic),succeeded,,1 pancake (~120g),120,320,6,38,16,1.8,480,1,medium
Chinese greens with oyster sauce,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~200g),200,110,4,8,6.5,3.5,620,3.5,medium
Braised beef brisket noodle soup,Chinese (Aus-Chinese + authentic),succeeded,,1 bowl (~550g),550,520,32,65,14,4,1650,6,medium
Ma po eggplant,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,320,8.5,20,23,5.5,950,7,medium
Salt and pepper pork ribs,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,780,38,30,55,2,950,4,medium
Crispy shredded beef,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,720,22,55,46,2.5,950,32,medium
Honey soy chicken,Chinese (Aus-Chinese + authentic),succeeded,,"1 serve (~350g, with rice)",350,520,34,58,15,2,950,20,medium
Mongolian lamb,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~400g),400,620,32,42,34,3,1400,22,medium
Special fried noodles,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~450g),450,620,26,70,25,4,1450,6,medium
Cantonese fried rice,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~350g),350,560,18,68,22,2.5,980,3.5,medium
Sichuan hot pot,Chinese (Aus-Chinese + authentic),succeeded,LOW_CONFIDENCE,1 serve (~500g cooked ingredients + broth),500,650,35,25,45,4,1800,5,low
Chinese BBQ pork,Chinese (Aus-Chinese + authentic),succeeded,,1 serve (~200g),200,420,32,22,22,0.5,980,18,medium
Pad thai,Thai,succeeded,,1 serve (~400g),400,620,24,78,22,3.5,1350,16,medium
Pad see ew,Thai,succeeded,,1 serve (~400g),400,620,28,68,25,4,1450,10,medium
Pad kra pao,Thai,succeeded,,"1 serve (~450g, incl. rice and fried egg)",450,680,28,75,30,3,1350,6,medium
Green curry,Thai,succeeded,,"1 serve (~400g, with rice)",400,560,24,55,28,3.5,950,8,medium
Red curry,Thai,succeeded,,1 serve (~400g),400,480,24,18,35,3.5,980,8,medium
Massaman curry,Thai,succeeded,,1 serve (~400g),400,560,28,26,38,4,950,10,medium
Yellow curry,Thai,succeeded,,"1 serve (~400g, with rice)",400,520,24,45,28,3.5,850,8,medium
Panang curry,Thai,succeeded,,1 serve (~350g),350,480,24,15,36,3,850,8,medium
Tom yum soup,Thai,succeeded,,1 bowl (~350g),350,180,12,9,10,1.5,1450,4,medium
Tom kha soup,Thai,succeeded,,1 serve (~350g),350,320,15,10,26,1.5,950,5,medium
Larb,Thai,succeeded,,1 serve (~300g),300,340,28,14,19,3,950,4,medium
Som tam,Thai,succeeded,,1 serve (~250g),250,160,4.5,24,6,3.5,1200,16,medium
Thai basil chicken,Thai,succeeded,,1 serve with rice (~400g),400,620,32,68,24,3,1150,6,medium
Thai fish cakes,Thai,succeeded,,"1 serve (4-5 pieces, ~150g)",150,280,16.5,15,17.5,1.5,620,6,medium
Satay chicken,Thai,succeeded,,"1 serve (~400g, with rice)",400,620,38,55,28,3.5,780,12,medium
Chicken satay skewers,Thai,succeeded,,4 skewers with sauce (~200g),200,380,30,12,24,2.5,620,7,medium
Spring rolls Thai style,Thai,succeeded,,"1 serve (4-5 rolls, ~120g)",120,290,6.5,30,16,2.5,480,6,medium
Thai fried rice,Thai,succeeded,,1 serve (~350g),350,550,18,75,19,3,950,6,medium
Pineapple fried rice,Thai,succeeded,,1 serve (~400g),400,620,18,88,21,4,950,14,medium
Pad woon sen,Thai,succeeded,,1 serve (~350g),350,420,22,48,15,3,980,7,medium
Drunken noodles,Thai,succeeded,,1 serve (~400g),400,620,25,70,26,4,1450,8,medium
Thai green papaya salad,Thai,succeeded,,1 serve (~250g),250,160,4.5,22,6.5,3.5,950,14,medium
Thai beef salad,Thai,succeeded,,1 serve (~350g),350,320,28,16,16,4,950,9,medium
Thai chicken curry,Thai,succeeded,,"1 serve (~400g, with rice)",400,620,32,48,34,3.5,980,8,medium
Thai red duck curry,Thai,succeeded,,1 serve (~400g),400,560,22,20,42,4,980,12,medium
Crispy pork belly Thai style,Thai,succeeded,,1 serve (~350g),350,780,32,20,62,2.5,1400,10,medium
Thai omelette,Thai,succeeded,,1 serve (~200g),200,340,14,4,30,0.5,620,1.5,medium
Mango sticky rice,Thai,succeeded,,1 serve (~300g),300,420,6.5,72,13,3,150,35,medium
Thai iced tea,Thai,succeeded,,1 glass (~350ml),350,220,3,34,8,0,60,32,medium
Satay beef skewers,Thai,succeeded,,"1 serve (4 skewers with sauce, ~200g)",200,380,28,12,25,2,620,7,medium
Thai fishcakes,Thai,succeeded,,"1 serve, 4-5 cakes (~150g)",150,285,16.5,14,18,1.5,620,6.5,medium
Tom yum goong,Thai,succeeded,,1 bowl (~400g),400,220,18,10,12,2,1400,4,medium
Massaman beef curry,Thai,succeeded,,1 serve (~400g),400,560,28,24,38,4.5,980,10,medium
Khao soi,Thai,succeeded,,1 bowl (~500g),500,620,28,55,34,4,1450,8,medium
Larb gai,Thai,succeeded,,1 serve (~300g),300,280,27,12,14,2.5,950,4,medium
Thai basil beef,Thai,succeeded,,"1 serve (~400g, with rice)",400,620,32,62,26,3.5,1150,8,medium
Cashew chicken Thai style,Thai,succeeded,,1 serve (~400g),400,520,32,30,30,4,980,12,medium
Crying tiger beef,Thai,succeeded,,1 serve (~300g),300,480,38,12,31,1.5,980,7,medium
Thai crab curry,Thai,succeeded,LOW_CONFIDENCE,1 serve (~400g),400,420,22,14,30,2.5,980,6,low
Thai prawn curry,Thai,succeeded,,"1 serve (~400g, curry + prawns, no rice)",400,420,22,14,31,3,980,8,medium
Sticky rice with mango,Thai,succeeded,,1 serve (~350g),350,480,6.5,85,14,4,180,40,medium
Thai spring roll platter,Thai,succeeded,,"1 serve (6 rolls, ~180g) with sauce",200,420,9,42,24,3.5,680,12,medium
Pad prik king,Thai,succeeded,,1 serve (~300g),300,420,24,15,29,4,950,5,medium
Gaeng som,Thai,succeeded,,1 serve (~350g),350,210,16,15,8,3,980,6,medium
Thai roasted duck curry,Thai,succeeded,,1 serve (~400g),400,620,28,20,46,4,980,12,medium
Thai chicken wings,Thai,succeeded,,"1 serve (~6 wings, 300g)",300,620,38,22,42,1,980,15,medium
Thai fried fish,Thai,succeeded,LOW_CONFIDENCE,1 serve (~350g),350,620,32,38,38,3,980,20,low
Thai steamed fish,Thai,succeeded,,1 serve (~350g fish plus sauce),350,320,38,10,13,1,980,6,medium
Thai vegetable curry,Thai,succeeded,,1 serve (~400g),400,320,6,22,22,5,780,9,medium
Thai tofu stir fry,Thai,succeeded,,1 serve (~400g),400,420,18,30,25,5,950,10,medium
Nam tok,Thai,succeeded,,1 serve (~300g),300,320,28,12,18,2.5,900,4,medium
Thai chicken larb,Thai,succeeded,,1 serve (~300g),300,320,28,12,18,3,900,4,medium
Fried rice with prawns Thai style,Thai,succeeded,,1 serve (~350g),350,520,20,68,18,3,980,6,medium
Thai satay skewers with peanut sauce,Thai,succeeded,,"1 serve, 4 skewers with sauce (~200g)",200,420,28,14,28,2.5,680,8,medium
Thai noodle soup,Thai,succeeded,,1 serve (~500g),500,420,22,48,15,3.5,1450,6,medium
Boat noodles,Thai,succeeded,,1 bowl (~350g),350,320,18,40,10,2,980,4,medium
Pho,Vietnamese,succeeded,,1 bowl (~600g),600,450,28,60,10,3,1800,6,medium
Beef pho,Vietnamese,succeeded,,1 bowl (~600g),600,480,30,60,12,3,1800,6,medium
Chicken pho,Vietnamese,succeeded,,1 bowl (~600g),600,420,28,55,8,3,1800,6,medium
Vegetarian pho,Vietnamese,succeeded,,1 bowl (~550g),550,380,12,68,6,4.5,1450,8,medium
Rice paper rolls,Vietnamese,succeeded,,"1 serve (~3 rolls, 180g) with dipping sauce",180,220,12,33,4.5,2.5,620,7,medium
Vietnamese spring rolls,Vietnamese,succeeded,,3 rolls (~120g) with dipping sauce,120,280,9.5,28,15,2,480,5,medium
Fresh spring rolls,Vietnamese,succeeded,,2 rolls (~180g),180,210,12,30,4.5,2.5,480,5,medium
Fried spring rolls,Vietnamese,succeeded,,4 pieces (~200g),200,420,9,42,24,3,620,3.5,medium
Bun cha,Vietnamese,succeeded,,1 serve (~500g),500,620,32,75,20,4,1400,15,medium
Vermicelli noodle bowl,Vietnamese,succeeded,,1 bowl (~450g),450,560,28,68,18,4,980,14,medium
Bun bo hue,Vietnamese,succeeded,,1 bowl (~600g),600,480,28,55,16,3,1650,6,medium
Vietnamese caramel pork,Vietnamese,succeeded,,"1 serve (~300g, with rice)",300,480,28,45,20,1.5,950,22,medium
Com tam,Vietnamese,succeeded,,1 serve (~450g),450,650,32,75,24,3,950,12,medium
Broken rice with pork chop,Vietnamese,succeeded,,1 serve (~500g),500,780,38,90,30,2.5,950,12,medium
Vietnamese lemongrass chicken,Vietnamese,succeeded,,"1 serve (~350g, with rice)",350,520,34,55,17,3,850,10,medium
Vietnamese beef stir fry,Vietnamese,succeeded,,1 serve (~400g),400,420,32,22,22,4,980,9,medium
Vietnamese pancake,Vietnamese,succeeded,,"1 serve (~1 pancake with filling and herbs, ~300g)",300,520,18,45,31,4,780,5,medium
Banh xeo,Vietnamese,succeeded,,"1 serve (1 crepe, ~250g)",250,480,18,40,28,4,780,5,medium
Vietnamese noodle salad,Vietnamese,succeeded,,1 serve (~400g),400,420,22,48,14,4.5,980,14,medium
Vietnamese spring roll salad,Vietnamese,succeeded,,1 serve (~350g),350,420,16.5,38,22,5.5,780,12,medium
